False: Execution aborted by timeout\ntime=1698857990.609774 gym-duckietown 2019.0.0

time=1698857990.765369 Registering gym environment id: Duckietown-4way-v0
time=1698857990.7654562 Registering gym environment id: Duckietown-ado_map_1-v0
time=1698857990.765495 Registering gym environment id: Duckietown-ado_map_2-v0
time=1698857990.7655632 Registering gym environment id: Duckietown-loop_dyn_duckiebots-v0
time=1698857990.765646 Registering gym environment id: Duckietown-loop_empty-v0
time=1698857990.7656891 Registering gym environment id: Duckietown-loop_obstacles-v0
time=1698857990.7657578 Registering gym environment id: Duckietown-loop_one_duckie-v0
time=1698857990.7658072 Registering gym environment id: Duckietown-loop_only_duckies-v0
time=1698857990.765853 Registering gym environment id: Duckietown-loop_pedestrians-v0
time=1698857990.7658987 Registering gym environment id: Duckietown-small_loop-v0
time=1698857990.7659461 Registering gym environment id: Duckietown-small_loop_cw-v0
time=1698857990.7659929 Registering gym environment id: Duckietown-straight_road-v0
time=1698857990.766041 Registering gym environment id: Duckietown-straight_road_10_tiles_no_start_tile-v0
time=1698857990.7660892 Registering gym environment id: Duckietown-straight_road_no_start_tile-v0
time=1698857990.7661355 Registering gym environment id: Duckietown-straight_road_trafficlight-v0
time=1698857990.7661827 Registering gym environment id: Duckietown-straight_road_with_side_floor-v0
time=1698857990.766231 Registering gym environment id: Duckietown-udem1-v0
time=1698857990.766277 Registering gym environment id: Duckietown-zigzag_dists-v0
time=1698857992.183283 Falling back to non-multisampled frame buffer
time=1698857992.185715 Falling back to non-multisampled frame buffer
time=1698857992.1881769 loading map file "/home/appuser/aido-auto/gym-duckietown/gym_duckietown/maps/loop_one_duckie.yaml"
time=1698857992.1963801 loading mesh "duckiebot.obj"
time=1698857992.1965199 loading materials from "/home/appuser/aido-auto/gym-duckietown/gym_duckietown/meshes/duckiebot.mtl"
time=1698857992.472321 loading mesh "duckie.obj"
time=1698857992.5047965 loading texture "duckie.png"
time=1698857992.8203838 loading texture "floor_1.png"
time=1698857992.896468 loading texture "curve_left_1.png"
time=1698857992.902248 loading texture "straight_1.png"
time=1698857992.9101253 loading texture "curve_right_1.png"
time=1698857992.9177525 using user tile start: (1, 1)
time=1698857992.9182975 tile: {'coords': (1, 1), 'kind': 'curve_left', 'angle': 3, 'drivable': True, 'curves': array([[[1.17  , 0.    , 0.7605],
        [0.8775, 0.    , 0.7605],
STEP: [0.8, 0]
TARG: {'angle': -1.451, 'dist': 1.846}
STEP: [0.8, 0]
TARG: {'angle': -1.476, 'dist': 1.856}
STEP: [0.8, 0]
TARG: {'angle': -1.501, 'dist': 1.865}
STEP: [0.8, 0]
TARG: {'angle': -1.525, 'dist': 1.876}
STEP: [0.8, 0]
TARG: {'angle': -1.549, 'dist': 1.887}
STEP: [0.8, 0]
TARG: {'angle': -1.572, 'dist': 1.899}
STEP: [0.8, 0]
TARG: {'angle': -1.595, 'dist': 1.912}
STEP: [0, -0.7]
TARG: {'angle': -1.482, 'dist': 1.912}
STEP: [0.8, 0]
TARG: {'angle': -1.618, 'dist': 1.924}
STEP: [0.8, 0]
TARG: {'angle': -1.64, 'dist': 1.937}
STEP: [0.8, 0]
TARG: {'angle': -1.661, 'dist': 1.95}
STEP: [0.8, 0]
TARG: {'angle': -1.683, 'dist': 1.964}
STEP: [0, -0.7]
TARG: {'angle': -1.57, 'dist': 1.964}
STEP: [0.8, 0]
TARG: {'angle': -1.704, 'dist': 1.978}
STEP: [0, -0.7]
TARG: {'angle': -1.591, 'dist': 1.978}
STEP: [0.8, 0]
TARG: {'angle': -1.724, 'dist': 1.991}
STEP: [0, -0.7]
TARG: {'angle': -1.612, 'dist': 1.991}
STEP: [0, -0.7]
TARG: {'angle': -1.612, 'dist': 1.991}
STEP: [0.8, 0]
TARG: {'angle': -1.744, 'dist': 2.002}
STEP: [0, -0.7]
TARG: {'angle': -1.632, 'dist': 2.002}
STEP: [0, -0.7]
TARG: {'angle': -1.632, 'dist': 2.002}
STEP: [0, -0.7]
TARG: {'angle': -1.632, 'dist': 2.002}
STEP: [0, -0.7]
TARG: {'angle': -1.632, 'dist': 2.002}
STEP: [0, -0.7]
TARG: {'angle': -1.632, 'dist': 2.002}
STEP: [0.8, 0]
TARG: {'angle': -1.762, 'dist': 2.008}
STEP: [0, -0.7]
TARG: {'angle': -1.651, 'dist': 2.008}
STEP: [0, -0.7]
TARG: {'angle': -1.651, 'dist': 2.008}
STEP:time=1698858000.5930023 Pos: [3.58098601 0.         0.86268849] angle 5.8650990393378795
time=1698858000.639017 Pos: [3.58098601 0.         0.86268849] angle 5.8324878117580985
time=1698858000.684792 Pos: [3.58098601 0.         0.86268849] angle 5.7998765841783175
time=1698858000.7317872 Pos: [3.58098601 0.         0.86268849] angle 5.767265356598537
time=1698858000.778152 Pos: [3.58098601 0.         0.86268849] angle 5.734654129018756
time=1698858000.824244 Pos: [3.61278816 0.         0.88212234] angle 5.734654129018756
time=1698858000.8710394 Pos: [3.6445903  0.         0.90155619] angle 5.734654129018756
time=1698858000.9177773 Pos: [3.6445903  0.         0.90155619] angle 5.702042901438975
time=1698858000.9646676 Pos: [3.6445903  0.         0.90155619] angle 5.669431673859194
time=1698858001.011349 Pos: [3.6445903  0.         0.90155619] angle 5.636820446279413
time=1698858001.067426 Pos: [3.6445903  0.         0.90155619] angle 5.604209218699632
time=1698858001.128525 Pos: [3.6445903  0.         0.90155619] angle 5.571597991119851
time=1698858001.1770465 Pos: [3.6445903  0.         0.90155619] angle 5.53898676354007
time=1698858001.2242696 Pos: [3.6445903  0.         0.90155619] angle 5.506375535960289
time=1698858001.2704737 Pos: [3.67116952 0.         0.92768273] angle 5.506375535960289
time=1698858001.3179617 Pos: [3.69774873 0.         0.95380928] angle 5.506375535960289
time=1698858001.3657818 Pos: [3.69774873 0.         0.95380928] angle 5.473764308380508
time=1698858001.413428 Pos: [3.69774873 0.         0.95380928] angle 5.441153080800727
time=1698858001.4627576 Pos: [3.69774873 0.         0.95380928] angle 5.408541853220946
time=1698858001.5102634 Pos: [3.69774873 0.         0.95380928] angle 5.375930625641165
time=1698858001.5566807 Pos: [3.69774873 0.         0.95380928] angle 5.343319398061384
time=1698858001.604388 Pos: [3.69774873 0.         0.95380928] angle 5.310708170481603
time=1698858001.6521614 Pos: [3.69774873 0.         0.95380928] angle 5.278096942901822
time=1698858001.7003865 Pos: [3.69774873 0.         0.95380928] angle 5.245485715322041
time=1698858001.7471287 Pos: [3.69774873 0.         0.95380928] angle 5.21287448774226
time=1698858001.7953243 Pos: [3.69774873 0.         0.95380928] angle 5.180263260162479
time=1698858001.8448048 Pos: [3.71455712 0.         0.98707381] angle 5.180263260162479
time=1698858001.8956146 Pos: [3.73136551 0.         1.02033834] angle 5.180263260162479
time=1698858001.9457366 Pos: [3.73136551 0.         1.02033834] angle 5.147652032582698
time=1698858001.99551 Pos: [3.73136551 0.         1.02033834] angle 5.115040805002917
time=1698858002.046504 Pos: [3.7459701  0.         1.05462765] angle 5.115040805002917
time=1698858002.1066084 Pos: [3.7459701  0.         1.05462765] angle 5.082429577423136
time=1698858002.1573281 Pos: [3.7459701  0.         1.05462765] angle 5.049818349843355
time=1698858002.2042894 Pos: [3.75830879 0.         1.08979593] angle 5.049818349843355
time=1698858002.2529888 Pos: [3.75830879 0.         1.08979593] angle 5.017207122263574
time=1698858002.3006532 Pos: [3.76949424 0.         1.12534782] angle 5.017207122263574
time=1698858002.3499985 Pos: [3.76949424 0.         1.12534782] angle 4.984595894683793
time=1698858002.4001853 Pos: [3.77951457 0.         1.16124551] angle 4.984595894683793
time=1698858002.4481304 Pos: [3.77951457 0.         1.16124551] angle 4.951984667104012
time=1698858002.5006886 Pos: [3.7883591  0.         1.19745083] angle 4.951984667104012
time=1698858002.5525966 Pos: [3.7883591  0.         1.19745083] angle 4.9193734395242315
time=1698858002.6009543 Pos: [3.7883591  0.         1.19745083] angle 4.8867622119444505
time=1698858002.6478088 Pos: [3.7948251  0.         1.23415562] angle 4.8867622119444505
time=1698858002.6986158 Pos: [3.8012911  0.         1.27086041] angle 4.8867622119444505
time=1698858002.7466238 Pos: [3.8012911  0.         1.27086041] angle 4.8541509843646695
time=1698858002.7934566 Pos: [3.80655689 0.         1.30775652] angle 4.8541509843646695
time=1698858002.8462503 Pos: [3.81182268 0.         1.34465262] angle 4.8541509843646695
time=1698858002.8966937 Pos: [3.81182268 0.         1.34465262] angle 4.8215397567848886
time=1698858002.9443772 Pos: [3.81588265 0.         1.3817008 ] angle 4.8215397567848886
time=1698858002.9923658 Pos: [3.81588265 0.         1.3817008 ] angle 4.788928529205108
time=1698858003.0416265 Pos: [3.81873249 0.         1.41886166] angle 4.788928529205108
time=1698858003.0910509 Pos: [3.82158234 0.         1.45602252] angle 4.788928529205108
time=1698858003.145147 Pos: [3.82443218 0.         1.49318337] angle 4.788928529205108
time=1698858003.192581 Pos: [3.82728202 0.         1.53034423] angle 4.788928529205108
time=1698858003.240532 Pos: [3.83013186 0.         1.56750509] angle 4.788928529205108
time=1698858003.2898285 Pos: [3.83298171 0.         1.60466595] angle 4.788928529205108
time=1698858003.3377707 Pos: [3.83298171 0.         1.60466595] angle 4.756317301625327
time=1698858003.3867168 Pos: [3.83461839 0.         1.64189997] angle 4.756317301625327
time=1698858003.4353313 Pos: [3.83625507 0.         1.67913399] angle 4.756317301625327
time=1698858003.4836173 Pos: [3.83789175 0.         1.71636801] angle 4.756317301625327
time=1698858003.535589 Pos: [3.83789175 0.         1.71636801] angle 4.723706074045546
time=1698858003.5829048 Pos: [3.83831353 0.         1.7536356 ] angle 4.723706074045546
time=1698858003.6311338 Pos: [3.83873531 0.         1.79090319] angle 4.723706074045546
time=1698858003.680432 Pos: [3.83915709 0.         1.82817077] angle 4.723706074045546
time=1698858003.7290542 Pos: [3.83957886 0.         1.86543836] angle 4.723706074045546
time=1698858003.7776756 Pos: [3.84000064 0.         1.90270595] angle 4.723706074045546
time=1698858003.825428 Pos: [3.84042242 0.         1.93997354] angle 4.723706074045546
time=1698858003.8750057 Pos: [3.8408442  0.         1.97724112] angle 4.723706074045546
time=1698858003.9231455 Pos: [3.84126598 0.         2.01450871] angle 4.723706074045546
time=1698858003.9744968 Pos: [3.84168776 0.         2.0517763 ] angle 4.723706074045546
time=1698858004.0225902 Pos: [3.84210954 0.         2.08904389] angle 4.723706074045546
time=1698858004.07081 Pos: [3.84253132 0.         2.12631148] angle 4.723706074045546
time=1698858004.1194527 Pos: [3.84253132 0.         2.12631148] angle 4.691094846465765
time=1698858004.167907 Pos: [3.84173774 0.         2.163573  ] angle 4.691094846465765
time=1698858004.215525 Pos: [3.84094417 0.         2.20083452] angle 4.691094846465765
time=1698858004.2635798 Pos: [3.8401506  0.         2.23809605] angle 4.691094846465765
time=1698858004.3120272 Pos: [3.83935703 0.         2.27535757] angle 4.691094846465765
time=1698858004.3590257 Pos: [3.83935703 0.         2.27535757] angle 4.658483618885984
time=1698858004.4060373 Pos: [3.83734895 0.         2.31257341] angle 4.658483618885984
time=1698858004.4538167 Pos: [3.83734895 0.         2.31257341] angle 4.625872391306203
time=1698858004.5008664 Pos: [3.83734895 0.         2.31257341] angle 4.593261163726422
time=1698858004.5471363 Pos: [3.83291955 0.         2.34957924] angle 4.593261163726422
time=1698858004.5960789 Pos: [3.83291955 0.         2.34957924] angle 4.560649936146641
time=1698858004.64705 Pos: [3.83291955 0.         2.34957924] angle 4.52803870856686
time=1698858004.6940386 Pos: [3.83291955 0.         2.34957924] angle 4.495427480987079
time=1698858004.741764 Pos: [3.83291955 0.         2.34957924] angle 4.462816253407298
time=1698858004.7885242 Pos: [3.83291955 0.         2.34957924] angle 4.430205025827517
time=1698858004.838629 Pos: [3.83291955 0.         2.34957924] angle 4.397593798247736
time=1698858004.8857985 Pos: [3.82137996 0.         2.38501776] angle 4.397593798247736
time=1698858004.9348278 Pos: [3.80984037 0.         2.42045628] angle 4.397593798247736
time=1698858004.9830835 Pos: [3.80984037 0.         2.42045628] angle 4.364982570667955
time=1698858005.031328 Pos: [3.80984037 0.         2.42045628] angle 4.332371343088174
time=1698858005.0789227 Pos: [3.80984037 0.         2.42045628] angle 4.299760115508393
time=1698858005.1263335 Pos: [3.80984037 0.         2.42045628] angle 4.267148887928612
time=1698858005.1734805 Pos: [3.80984037 0.         2.42045628] angle 4.234537660348831
time=1698858005.220595 Pos: [3.80984037 0.         2.42045628] angle 4.20192643276905
time=1698858005.2674043 Pos: [3.79163097 0.         2.45297503] angle 4.20192643276905
time=1698858005.3179228 Pos: [3.79163097 0.         2.45297503] angle 4.169315205189269
time=1698858005.3654425 Pos: [3.79163097 0.         2.45297503] angle 4.136703977609488
time=1698858005.4192967 Pos: [3.77134084 0.         2.48423781] angle 4.136703977609488
time=1698858005.4681413 Pos: [3.77134084 0.         2.48423781] angle 4.104092750029707
time=1698858005.5173254 Pos: [3.77134084 0.         2.48423781] angle 4.071481522449926
time=1698858005.564726 Pos: [3.77134084 0.         2.48423781] angle 4.038870294870145
time=1698858005.6123555 Pos: [3.77134084 0.         2.48423781] angle 4.006259067290364
time=1698858005.660035 Pos: [3.77134084 0.         2.48423781] angle 3.9736478397105834
time=1698858005.7075644 Pos: [3.77134084 0.         2.48423781] angle 3.9410366121308025
time=1698858005.7554061 Pos: [3.74535974 0.         2.51095922] angle 3.9410366121308025
time=1698858005.8035538 Pos: [3.74535974 0.         2.51095922] angle 3.9084253845510215
time=1698858005.8517396 Pos: [3.74535974 0.         2.51095922] angle 3.8758141569712405
time=1698858005.8989544 Pos: [3.74535974 0.         2.51095922] angle 3.8432029293914596
time=1698858005.9477873 Pos: [3.74535974 0.         2.51095922] angle 3.8105917018116786
time=1698858005.9959455 Pos: [3.74535974 0.         2.51095922] angle 3.7779804742318976
time=1698858006.044265 Pos: [3.74535974 0.         2.51095922] angle 3.7453692466521167
time=1698858006.09665 Pos: [3.71467919 0.         2.53211944] angle 3.7453692466521167
time=1698858006.1457515 Pos: [3.71467919 0.         2.53211944] angle 3.7127580190723357
time=1698858006.194957 Pos: [3.71467919 0.         2.53211944] angle 3.6801467914925547
time=1698858006.2441254 Pos: [3.71467919 0.         2.53211944] angle 3.647535563912774
time=1698858006.2949245 Pos: [3.71467919 0.         2.53211944] angle 3.614924336332993
time=1698858006.3431911 Pos: [3.68150689 0.         2.54910912] angle 3.614924336332993
time=1698858006.3930097 Pos: [3.64833458 0.         2.56609879] angle 3.614924336332993
time=1698858006.4462929 Pos: [3.61516227 0.         2.58308847] angle 3.614924336332993
time=1698858006.4959478 Pos: [3.61516227 0.         2.58308847] angle 3.582313108753212
time=1698858006.5452108 Pos: [3.61516227 0.         2.58308847] angle 3.549701881173431
time=1698858006.5955641 Pos: [3.61516227 0.         2.58308847] angle 3.51709065359365
time=1698858006.644929 Pos: [3.61516227 0.         2.58308847] angle 3.484479426013869
time=1698858006.695725 Pos: [3.61516227 0.         2.58308847] angle 3.451868198434088
time=1698858006.7445784 Pos: [3.57967196 0.         2.59446777] angle 3.451868198434088
time=1698858006.79649 Pos: [3.54418165 0.         2.60584708] angle 3.451868198434088
time=1698858006.8465414 Pos: [3.54418165 0.         2.60584708] angle 3.419256970854307
time=1698858006.8979673 Pos: [3.54418165 0.         2.60584708] angle 3.386645743274526
time=1698858006.9476836 Pos: [3.50802513 0.         2.61488907] angle 3.386645743274526
time=1698858006.998278 Pos: [3.50802513 0.         2.61488907] angle 3.354034515694745
time=1698858007.0496237 Pos: [3.47159303 0.         2.62274735] angle 3.354034515694745
time=1698858007.1005652 Pos: [3.47159303 0.         2.62274735] angle 3.321423288114964
time=1698858007.1490211 Pos: [3.43492407 0.         2.62941357] angle 3.321423288114964
time=1698858007.200074 Pos: [3.43492407 0.         2.62941357] angle 3.288812060535183
time=1698858007.249746 Pos: [3.39805725 0.         2.63488063] angle 3.288812060535183
time=1698858007.2993233 Pos: [3.36119043 0.         2.6403477 ] angle 3.288812060535183
time=1698858007.350802 Pos: [3.36119043 0.         2.6403477 ] angle 3.256200832955402
time=1698858007.40081 Pos: [3.36119043 0.         2.6403477 ] angle 3.2235896053756212
time=1698858007.4528444 Pos: [3.32404568 0.         2.6434003 ] angle 3.2235896053756212
time=1698858007.5029423 Pos: [3.28690093 0.         2.6464529 ] angle 3.2235896053756212
time=1698858007.5534837 Pos: [3.24975618 0.         2.6495055 ] angle 3.2235896053756212
time=1698858007.6075778 Pos: [3.21261142 0.         2.6525581 ] angle 3.2235896053756212
time=1698858007.6572838 Pos: [3.17546667 0.         2.6556107 ] angle 3.2235896053756212
time=1698858007.706889 Pos: [3.13832192 0.         2.6586633 ] angle 3.2235896053756212
time=1698858007.7565844 Pos: [3.10117717 0.         2.6617159 ] angle 3.2235896053756212
time=1698858007.806624 Pos: [3.06403241 0.         2.6647685 ] angle 3.2235896053756212
time=1698858007.8576987 Pos: [3.02688766 0.         2.6678211 ] angle 3.2235896053756212
time=1698858007.9082904 Pos: [2.98974291 0.         2.67087371] angle 3.2235896053756212
time=1698858007.9584866 Pos: [2.95259816 0.         2.67392631] angle 3.2235896053756212
 [0, -0.7]
TARG: {'angle': -1.651, 'dist': 2.008}
STEP: [0, -0.7]
TARG: {'angle': -1.651, 'dist': 2.008}
STEP: [0, -0.7]
TARG: {'angle': -1.651, 'dist': 2.008}
STEP: [0, -0.7]
TARG: {'angle': -1.651, 'dist': 2.008}
STEP: [0, -0.7]
TARG: {'angle': -1.651, 'dist': 2.008}
STEP: [0.8, 0]
TARG: {'angle': -1.777, 'dist': 2.006}
STEP: [0.8, 0]
TARG: {'angle': -1.793, 'dist': 2.005}
STEP: [0, -0.7]
TARG: {'angle': -1.686, 'dist': 2.005}
STEP: [0, -0.7]
TARG: {'angle': -1.686, 'dist': 2.005}
STEP: [0, -0.7]
TARG: {'angle': -1.686, 'dist': 2.005}
STEP: [0, -0.7]
TARG: {'angle': -1.686, 'dist': 2.005}
STEP: [0, -0.7]
TARG: {'angle': -1.686, 'dist': 2.005}
STEP: [0, -0.7]
TARG: {'angle': -1.686, 'dist': 2.005}
STEP: [0, -0.7]
TARG: {'angle': -1.686, 'dist': 2.005}
STEP: [0.8, 0]
TARG: {'angle': -1.805, 'dist': 1.996}
STEP: [0.8, 0]
TARG: {'angle': -1.818, 'dist': 1.988}
STEP: [0, -0.7]
TARG: {'angle': -1.716, 'dist': 1.988}
STEP: [0, -0.7]
TARG: {'angle': -1.716, 'dist': 1.988}
STEP: [0, -0.7]
TARG: {'angle': -1.716, 'dist': 1.988}
STEP: [0, -0.7]
TARG: {'angle': -1.716, 'dist': 1.988}
STEP: [0, -0.7]
TARG: {'angle': -1.716, 'dist': 1.988}
STEP: [0, -0.7]
TARG: {'angle': -1.716, 'dist': 1.988}
STEP: [0, -0.7]
TARG: {'angle': -1.716, 'dist': 1.988}
STEP: [0, -0.7]
TARG: {'angle': -1.716, 'dist': 1.988}
STEP: [0, -0.7]
TARG: {'angle': -1.716, 'dist': 1.988}
STEP: [0, -0.7]
TARG: {'angle': -1.716, 'dist': 1.988}
STEP: [0.8, 0]
TARG: {'angle': -1.826, 'dist': 1.969}
STEP: [0.8, 0]
TARG: {'angle': -1.834, 'dist': 1.951}
STEP: [0, -0.7]
TARG: {'angle': -1.737, 'dist': 1.951}
STEP: [0, -0.7]
TARG: {'angle': -1.737, 'dist': 1.951}
STEP: [0.8, 0]
TARG: {'angle': -1.842, 'dist': 1.931}
STEP: [0, -0.7]
TARG: {'angle': -1.747, 'dist': 1.931}
STEP: [0, -0.7]
TARG: {'angle': -1.747, 'dist': 1.931}
STEP: [0.8, 0]
TARG: {'angle': -1.848, 'dist': 1.91}
STEP: [0, -0.7]
TARG: {'angle': -1.757, 'dist': 1.91}
STEP: [0.8, 0]
TARG: {'angle': -1.855, 'dist': 1.888}
STEP: [0, -0.7]
TARG: {'angle': -1.766, 'dist': 1.888}
STEP: [0.8, 0]
TARG: {'angle': -1.861, 'dist': 1.866}
STEP: [0, -0.7]
TARG: {'angle': -1.775, 'dist': 1.866}
STEP: [0.8, 0]
TARG: {'angle': -1.868, 'dist': 1.843}
STEP: [0, -0.7]
TARG: {'angle': -1.785, 'dist': 1.843}
STEP: [0, -0.7]
TARG: {'angle': -1.785, 'dist': 1.843}
STEP: [0.8, 0]
TARG: {'angle': -1.873, 'dist': 1.818}
STEP: [0.8, 0]
TARG: {'angle': -1.88, 'dist': 1.794}
STEP: [0, -0.7]
TARG: {'angle': -1.802, 'dist': 1.794}
STEP: [0.8, 0]
TARG: {'angle': -1.886, 'dist': 1.77}
STEP: [0.8, 0]
TARG: {'angle': -1.892, 'dist': 1.746}
STEP: [0, -0.7]
TARG: {'angle': -1.82, 'dist': 1.746}
STEP: [0.8, 0]
TARG: {'angle': -1.899, 'dist': 1.722}
STEP: [0, -0.7]
TARG: {'angle': -1.829, 'dist': 1.722}
STEP: [0.8, 0]
TARG: {'angle': -1.905, 'dist': 1.697}
STEP: [0.8, 0]
TARG: {'angle': -1.912, 'dist': 1.673}
STEP: [0.8, 0]
TARG: {'angle': -1.92, 'dist': 1.649}
STEP: [0.8, 0]
TARG: {'angle': -1.928, 'dist': 1.626}
STEP: [0.8, 0]
TARG: {'angle': -1.937, 'dist': 1.603}
STEP: [0.8, 0]
TARG: {'angle': -1.947, 'dist': 1.58}
STEP: [0, -0.7]
TARG: {'angle': -1.892, 'dist': 1.58}
STEP: [0.8, 0]
TARG: {'angle': -1.956, 'dist': 1.558}
STEP: [0.8, 0]
TARG: {'angle': -1.967, 'dist': 1.536}
STEP: [0.8, 0]
TARG: {'angle': -1.977, 'dist': 1.514}
STEP: [0, -0.7]
TARG: {'angle': -1.93, 'dist': 1.514}
STEP: [0.8, 0]
TARG: {'angle': -1.988, 'dist': 1.492}
STEP: [0.8, 0]
TARG: {'angle': -2.0, 'dist': 1.471}
STEP: [0.8, 0]
TARG: {'angle': -2.012, 'dist': 1.45}
STEP: [0.8, 0]
TARG: {'angle': -2.025, 'dist': 1.43}
STEP: [0.8, 0]
TARG: {'angle': -2.039, 'dist': 1.411}
STEP: [0.8, 0]
TARG: {'angle': -2.053, 'dist': 1.392}
STEP: [0.8, 0]
TARG: {'angle': -2.068, 'dist': 1.375}
STEP: [0.8, 0]
TARG: {'angle': -2.084, 'dist': 1.358}
STEP: [0.8, 0]
TARG: {'angle': -2.1, 'dist': 1.341}
STEP: [0.8, 0]
TARG: {'angle': -2.118, 'dist': 1.326}
STEP: [0.8, 0]
TARG: {'angle': -2.135, 'dist': 1.312}
STEP: [0, -0.7]
TARG: {'angle': -2.111, 'dist': 1.312}
STEP: [0.8, 0]
TARG: {'angle': -2.153, 'dist': 1.297}
STEP: [0.8, 0]
TARG: {'angle': -2.172, 'dist': 1.283}
STEP: [0.8, 0]
TARG: {'angle': -2.191, 'dist': 1.27}
STEP: [0.8, 0]
TARG: {'angle': -2.211, 'dist': 1.259}
STEP: [0, -0.7]
TARG: {'angle': -2.195, 'dist': 1.259}
STEP: [0.8, 0]
TARG: {'angle': -2.231, 'dist': 1.247}
STEP: [0, -0.7]
TARG: {'angle': -2.216, 'dist': 1.247}
STEP: [0, -0.7]
TARG: {'angle': -2.216, 'dist': 1.247}
STEP: [0.8, 0]
TARG: {'angle': -2.251, 'dist': 1.233}
STEP: [0, -0.7]
TARG: {'angle': -2.238, 'dist': 1.233}
STEP: [0, -0.7]
TARG: {'angle': -2.238, 'dist': 1.233}
STEP: [0, -0.7]
TARG: {'angle': -2.238, 'dist': 1.233}
STEP: [0, -0.7]
TARG: {'angle': -2.238, 'dist': 1.233}
STEP: [0, -0.7]
TARG: {'angle': -2.238, 'dist': 1.233}
STEP: [0, -0.7]
TARG: {'angle': -2.238, 'dist': 1.233}
STEP: [0.8, 0]
TARG: {'angle': -2.268, 'dist': 1.214}
STEP: [0.8, 0]
TARG: {'angle': -2.286, 'dist': 1.196}
STEP: [0, -0.7]
TARG: {'angle': -2.277, 'dist': 1.196}
STEP: [0, -0.7]
TARG: {'angle': -2.277, 'dist': 1.196}
STEP: [0, -0.7]
TARG: {'angle': -2.277, 'dist': 1.196}
STEP: [0, -0.7]
TARG: {'angle': -2.277, 'dist': 1.196}
STEP: [0, -0.7]
TARG: {'angle': -2.277, 'dist': 1.196}
STEP: [0, -0.7]
TARG: {'angle': -2.277, 'dist': 1.196}
STEP: [0.8, 0]
TARG: {'angle': -2.301, 'dist': 1.173}
STEP: [0, -0.7]
TARG: {'angle': -2.294, 'dist': 1.173}
STEP: [0, -0.7]
TARG: {'angle': -2.294, 'dist': 1.173}
STEP: [0.8, 0]
TARG: {'angle': -2.316, 'dist': 1.148}
STEP: [0, -0.7]
TARG: {'angle': -2.311, 'dist': 1.148}
STEP: [0, -0.7]
TARG: {'angle': -2.311, 'dist': 1.148}
STEP: [0, -0.7]
TARG: {'angle': -2.311, 'dist': 1.148}
STEP: [0, -0.7]
TARG: {'angle': -2.311, 'dist': 1.148}
STEP: [0, -0.7]
TARG: {'angle': -2.311, 'dist': 1.148}
STEP: [0, -0.7]
TARG: {'angle': -2.311, 'dist': 1.148}
STEP: [0.8, 0]
TARG: {'angle': -2.327, 'dist': 1.119}
STEP: [0, -0.7]
TARG: {'angle': -2.324, 'dist': 1.119}
STEP: [0, -0.7]
TARG: {'angle': -2.324, 'dist': 1.119}
STEP: [0, -0.7]
TARG: {'angle': -2.324, 'dist': 1.119}
STEP: [0, -0.7]
TARG: {'angle': -2.324, 'dist': 1.119}
STEP: [0, -0.7]
TARG: {'angle': -2.324, 'dist': 1.119}
STEP: [0, -0.7]
TARG: {'angle': -2.324, 'dist': 1.119}
STEP: [0.8, 0]
TARG: {'angle': -2.334, 'dist': 1.087}
STEP: [0, -0.7]
TARG: {'angle': -2.333, 'dist': 1.087}
STEP: [0, -0.7]
TARG: {'angle': -2.333, 'dist': 1.087}
STEP: [0, -0.7]
TARG: {'angle': -2.333, 'dist': 1.087}
STEP: [0, -0.7]
TARG: {'angle': -2.333, 'dist': 1.087}
STEP: [0.8, 0]
TARG: {'angle': -2.338, 'dist': 1.052}
STEP: [0.8, 0]
TARG: {'angle': -2.343, 'dist': 1.018}
STEP: [0.8, 0]
TARG: {'angle': -2.349, 'dist': 0.984}
STEP: [0, -0.7]
TARG: {'angle': -2.354, 'dist': 0.984}
STEP: [0, -0.7]
TARG: {'angle': -2.354, 'dist': 0.984}
STEP: [0, -0.7]
TARG: {'angle': -2.354, 'dist': 0.984}
STEP: [0, -0.7]
TARG: {'angle': -2.354, 'dist': 0.984}
STEP: [0, -0.7]
TARG: {'angle': -2.354, 'dist': 0.984}
STEP: [0.8, 0]
TARG: {'angle': -2.351, 'dist': 0.948}
STEP: [0.8, 0]
TARG: {'angle': -2.353, 'dist': 0.912}
STEP: [0, -0.7]
TARG: {'angle': -2.362, 'dist': 0.912}
STEP: [0, -0.7]
TARG: {'angle': -2.362, 'dist': 0.912}
STEP: [0.8, 0]
TARG: {'angle': -2.354, 'dist': 0.876}
STEP: [0, -0.7]
TARG: {'angle': -2.364, 'dist': 0.876}
STEP: [0.8, 0]
TARG: {'angle': -2.354, 'dist': 0.839}
STEP: [0, -0.7]
TARG: {'angle': -2.366, 'dist': 0.839}
STEP: [0.8, 0]
TARG: {'angle': -2.353, 'dist': 0.802}
STEP: [0, -0.7]
TARG: {'angle': -2.368, 'dist': 0.802}
STEP: [0.8, 0]
TARG: {'angle': -2.352, 'dist': 0.766}
STEP: [0.8, 0]
TARG: {'angle': -2.352, 'dist': 0.729}
STEP: [0, -0.7]
TARG: {'angle': -2.37, 'dist': 0.729}
STEP: [0, -0.7]
TARG: {'angle': -2.37, 'dist': 0.729}
STEP: [0.8, 0]
TARG: {'angle': -2.349, 'dist': 0.692}
STEP: [0.8, 0]
TARG: {'angle': -2.346, 'dist': 0.655}
STEP: [0.8, 0]
